itemDescription,image_url,image_path
tropical fruit,https://media1.popsugar-assets.com/files/thumbor/u1L4i8DMk8QivGVYJj4AQzdMwz4/fit-in/2048xorig/filters:format_auto-!!-:strip_icc-!!-/2016/06/03/727/n/1922195/571b02185b2af18a_shutterstock_290957057.jpg,item_images/tropical_fruit.jpg
whole milk,https://cooksfarmdairy.com/DesktopModules/Revindex.Dnn.RevindexStorefront/Portals/12/Gallery/70c3226a-3367-4446-9529-80fb54901a1a.jpg,item_images/whole_milk.jpg
pip fruit,https://store.pggwrightson.co.nz/media/catalog/category/PGW_SubCat_Crops_Split_Banner_583x270_Pip_Fruit.png,item_images/pip_fruit.jpg
other vegetables,https://englishstudyonline.org/wp-content/uploads/2019/05/TYPES-OF-VEGETABLES-1.jpg,item_images/other_vegetables.jpg
rolls/buns,,
pot plants,https://i5.walmartimages.com/asr/0c60bdc2-69f9-4030-8ccd-26243f3f1f88.e8365f1fc69844eceb6f20a7af3caa74.jpeg,item_images/pot_plants.jpg
citrus fruit,https://www.homeperch.com/wp-content/uploads/2019/04/Types-of-Citrus-Fruits-1-27-4.jpg,item_images/citrus_fruit.jpg
beef,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-roast-beef-horizontal-1540505165.jpg?crop=1xw:0.75xh;center,top&resize=1200:*",item_images/beef.jpg
frankfurter,https://info.bml.gv.at/.imaging/mte/bcisa/bcisa-full/dam/bm/themen/lebensmittel/trad-lebensmittel/Fleisch/Fleischprodukte/frankfurter/22.07.04-Foto-Frankfurter.jpg/jcr:content/22.07.04+Foto+Frankfurter.jpg,item_images/frankfurter.jpg
chicken,"https://assets.epicurious.com/photos/62f16ed5fe4be95d5a460eed/1:1/w_2560,c_limit/RoastChicken_RECIPE_080420_37993.jpg",item_images/chicken.jpg
butter,http://www.webexhibits.org/butter/i/full/iStock_000006937653Small.jpg,item_images/butter.jpg
fruit/vegetable juice,http://divascancook.com/wp-content/uploads/2012/01/IMG_3548_2.jpg,item_images/fruit_vegetable_juice.jpg
packaged fruit/vegetables,https://c8.alamy.com/comp/P2KD87/fresh-food-vegetables-fruit-each-individually-packaged-in-plastic-wrap-all-food-is-available-in-the-same-supermarket-even-without-plastic-packagin-P2KD87.jpg,item_images/packaged_fruit_vegetables.jpg
chocolate,https://elavegan.com/wp-content/uploads/2023/01/homemade-chocolate-bars-1041x1536.jpg,item_images/chocolate.jpg
specialty bar,https://cdn.foodism.to/featured_image/5d766647cd4e1.jpeg,item_images/specialty_bar.jpg
butter milk,,
bottled water,http://kidspressmagazine.com/wp-content/uploads/2014/04/dreamstime_xl_12522351.jpg,item_images/bottled_water.jpg
yogurt,https://plantbasedjuniors.com/wp-content/uploads/2022/08/vegan-yogurt-1-scaled.jpg,item_images/yogurt.jpg
sausage,https://www.daringgourmet.com/wp-content/uploads/2018/01/Breakfast-Sausages-5-square-lighter-2.jpg,item_images/sausage.jpg
brown bread,,
hamburger meat,https://recipes.net/wp-content/uploads/2024/01/how-to-grill-juicy-lean-hamburger-meat-1705403215.jpg,item_images/hamburger_meat.jpg
root vegetables,"https://www.thespruce.com/thmb/gr13QjCYV4C7PwVT4C8dJH6tnAY=/5500x3661/filters:fill(auto,1)/root-vegetables-1403506-11-647a8d987fd248f18711e0cec22ef708.jpg",item_images/root_vegetables.jpg
pork,https://tastefullygrace.com/wp-content/uploads/2022/09/Grilled-Pork-Tenderloin-Recipe-1-scaled.jpg,item_images/pork.jpg
pastry,https://everydaypie.com/wp-content/uploads/2022/06/Puff-Pastry-1-1.jpg,item_images/pastry.jpg
canned beer,https://thumbs.dreamstime.com/z/calgary-alberta-canada-jun-various-beer-cans-craft-beers-domestic-imported-around-world-mini-fridge-house-186311163.jpg,item_images/canned_beer.jpg
berries,https://parade.com/.image/t_share/MTk3ODAzODAxNTczMzM2ODgy/types-of-berries.jpg,item_images/berries.jpg
coffee,https://studyfinds.org/wp-content/uploads/2023/02/raimond-klavins-bJiLmqLSdAc-unsplash-scaled.jpg,item_images/coffee.jpg
misc. beverages,https://cdn11.bigcommerce.com/s-a6pgxdjc7w/images/stencil/original/t/misc+-+beverages+&+drink+mixes__53482.original.jpg,item_images/misc._beverages.jpg
ham,"https://www.thespruceeats.com/thmb/9m6_bZkgeBKV6gq1vdolfrNLK9c=/2121x1414/filters:fill(auto,1)/GettyImages-618319032-5aba4d34ff1b780036d2ffab.jpg",item_images/ham.jpg
turkey,,
curd cheese,https://www.deliaonline.com/sites/default/files/styles/3_by_2/public/curd-cheese-19447.jpg,item_images/curd_cheese.jpg
red/blush wine,https://cdn.shopify.com/s/files/1/0783/7359/products/Italian-Pinot-Grigio-Blush-Rose-Wine_1024x1024.jpg?v=1497024565,item_images/red_blush_wine.jpg
frozen potato products,https://sporked.com/wp-content/uploads/2023/03/LISTICLE_BEST-FROZEN-POTATOS_HEADER.jpg,item_images/frozen_potato_products.jpg
flour,https://www.pngarts.com/files/4/Flour-PNG-Download-Image.png,item_images/flour.jpg
sugar,https://cdn.britannica.com/73/239573-131-63075292/sugar-cubes.jpg,item_images/sugar.jpg
frozen meals,https://ww2.kqed.org/bayareabites/wp-content/uploads/sites/24/2018/05/20180521_181753.jpg,item_images/frozen_meals.jpg
herbs,"https://www.thespruceeats.com/thmb/x-UqVobvzzRtmXqqLUIA19LeHl8=/5000x3333/filters:fill(auto,1)/various-fresh-herbs-907728974-cc6c2be53aac46de9e6a4b47a0e630e4.jpg",item_images/herbs.jpg
soda,https://m.media-amazon.com/images/I/81JLNKLTLGL.jpg,item_images/soda.jpg
detergent,https://i5.walmartimages.com/seo/Tide-Original-HE-Liquid-Laundry-Detergent-100-Fl-Oz-64-loads_3bfa7fea-d6e6-40db-857c-7f9e28686b74_1.1206e812c461517ff3b10176a88310dc.jpeg,item_images/detergent.jpg
grapes,https://images.pexels.com/photos/708777/pexels-photo-708777.jpeg?cs=srgb&dl=bunch-cluster-delicious-708777.jpg&fm=jpg,item_images/grapes.jpg
processed cheese,https://mammencheese.dk/wp-content/uploads/2015/12/sliced_cheese-1-1024x768.jpg,item_images/processed_cheese.jpg
fish,https://seatechaquariums.com/wp-content/uploads/2019/07/Tropical-Fish-Defined-_-162088514-1.jpeg,item_images/fish.jpg
sparkling wine,https://cdn.shopify.com/s/files/1/1894/2499/collections/10-Things-You-Didnt-Know-About-Sparkling-Wines_642x340_2de20fac-acec-4b1f-be7c-cf2aaecfc8d2.jpg?v=1568305512,item_images/sparkling_wine.jpg
newspapers,https://cdn.britannica.com/25/93825-050-D1300547/collection-newspapers.jpg,item_images/newspapers.jpg
curd,https://vanitascorner.com/wp-content/uploads/2019/06/Making-curd.jpg,item_images/curd.jpg
pasta,,
popcorn,https://healthjade.com/wp-content/uploads/2017/12/popcorn.jpg,item_images/popcorn.jpg
finished products,https://study.com/cimages/videopreview/bv33s66cvo.jpg,item_images/finished_products.jpg
beverages,https://nutrition.org/wp-content/uploads/2019/06/beverages-carbonated-drink-cold-drink-1571849.jpg,item_images/beverages.jpg
bottled beer,https://thumbs.dreamstime.com/z/bottles-famous-global-beer-brands-poznan-pol-july-including-heineken-bud-miller-tuborg-becks-stella-artois-peroni-san-121920512.jpg,item_images/bottled_beer.jpg
dessert,https://tmbidigitalassetsazure.blob.core.windows.net/rms3-prod/attachments/37/1200x1200/exps187568_SD153320D12_05_1b.jpg,item_images/dessert.jpg
dog food,https://breedingbusiness.com/wp-content/uploads/2021/07/dry-dog-food.jpg,item_images/dog_food.jpg
specialty chocolate,https://cdn1.simplychocolate.com/wcsstore/SimplyChocolate/images/catalog/163733x.jpg?height=378&width=345,item_images/specialty_chocolate.jpg
condensed milk,https://i5.walmartimages.com/seo/Great-Value-Sweetened-Condensed-Milk-14-oz_c1ecf1b1-2a04-41f4-974a-7b2655491160.388f5d98d667b97b945c1d73b0750e4d.jpeg,item_images/condensed_milk.jpg
cleaner,https://www.pristinehome.com.au/wp-content/uploads/2020/01/15-Cleaning-Tips-from-Professional-Cleaners.jpg,item_images/cleaner.jpg
white wine,http://wineinsiders.com/cdn/shop/articles/thomas-martinsen-Eo9ZNtEUH_Y-unsplash.jpg?v=1691687901,item_images/white_wine.jpg
meat,https://facts.net/wp-content/uploads/2022/06/different-types-of-meat.jpg,item_images/meat.jpg
ice cream,https://cdn.loveandlemons.com/wp-content/uploads/2023/06/homemade-ice-cream.jpg,item_images/ice_cream.jpg
hard cheese,https://blog.liebherr.com/appliances/ie/wp-content/uploads/sites/26/2021/07/cheese-2.jpg,item_images/hard_cheese.jpg
cream cheese ,https://i.pinimg.com/originals/59/5e/07/595e078cbb7e33b9d76cce8504e7ea8a.jpg,item_images/cream_cheese_.jpg
liquor,"https://cdn.apartmenttherapy.info/image/fetch/f_auto,q_auto:eco,c_fill,g_auto,w_1500/https://storage.googleapis.com/gen-atmedia/3/2012/05/4abb77ff15cae27e174e06a83d05a4d916a50930.jpeg",item_images/liquor.jpg
pickled vegetables,https://onepotrecipes.com/wp-content/uploads/2019/07/Pickled-Vegetables-Recipe-700x1050.jpg,item_images/pickled_vegetables.jpg
liquor (appetizer),https://thumbs.dreamstime.com/b/glass-red-liquor-charcuterie-board-alcoholic-cocktail-appetizer-close-up-224908684.jpg,item_images/liquor_(appetizer).jpg
UHT-milk,https://m.media-amazon.com/images/I/71rUuDGVkdL.jpg,item_images/UHT-milk.jpg
candy,https://www.gosupps.com/media/catalog/product/cache/25/image/1500x/040ec09b1e35df139433887a97daa66f/9/1/91xUoYir-nS._SL1500_.jpg,item_images/candy.jpg
onions,"https://assets.bonappetit.com/photos/609ebfaacb023646c505deee/16:9/w_2560,c_limit/Basically-Onions-NEW.jpg",item_images/onions.jpg
hair spray,https://i5.walmartimages.com/asr/e1bf8e6b-1684-488a-98bc-1421870cd9dd_1.5eb8ed30459f2816ab7c5929d3c22337.jpeg,item_images/hair_spray.jpg
photo/film,,
domestic eggs,https://thumbs.dreamstime.com/b/domestic-eggs-white-skin-domestic-eggs-package-245095373.jpg,item_images/domestic_eggs.jpg
margarine,https://cdn.britannica.com/32/122032-050-06EB441E/Tub-margarine.jpg,item_images/margarine.jpg
shopping bags,https://i5.walmartimages.com/asr/204dad21-0828-4e1e-8b82-b0c546ca3565_2.61e1b358993207fe8d6c97bb9fc2687e.png,item_images/shopping_bags.jpg
salt,https://www.tastingtable.com/img/gallery/everything-you-need-to-know-about-salt/intro-1674742362.jpg,item_images/salt.jpg
oil,https://mag1.com/media/images/iStock-160116206_Flipped.original.jpg,item_images/oil.jpg
whipped/sour cream,https://blog.creamchargers.co.uk/wp-content/uploads/2020/10/whipped-cream-3-683x1024.jpg,item_images/whipped_sour_cream.jpg
frozen vegetables,https://www.healthyfood.com/wp-content/uploads/2020/05/10-ways-with-frozen-vegetables-iStock-182197343.jpg,item_images/frozen_vegetables.jpg
sliced cheese,http://d3u5bsc6xz12oq.cloudfront.net/s3fs-public/styles/promo_slides/public/slideshow-images/sliced-hero-1.jpg?itok=S4hOq7rJ,item_images/sliced_cheese.jpg
dish cleaner,https://i5.walmartimages.com/seo/Dishwasher-Cleaning-Tablets-20-Pack-Heavy-Duty-Grease-Stain-Remover-Machine-Cleaner-Descaler-Removes-Odors-Limescale-Compatible-Dishwashers-Kitchen-A_d18df32a-353e-4048-9ee4-b80b56426401.161ddbd2dd6af2b0d1fd389f49092979.jpeg,item_images/dish_cleaner.jpg
baking powder,,
specialty cheese,https://img.freepik.com/free-photo/close-up-variety-gourmet-cheese-ready-be-served_23-2148610593.jpg?w=1480&t=st=1666273831~exp=1666274431~hmac=6f7cbc2d9ac259c89aa753bc477ae337149b0f53b9c74c52f8a002dd2177c875,item_images/specialty_cheese.jpg
salty snack,,
Instant food products,https://c8.alamy.com/comp/HG55CG/knorr-instant-food-packings-in-a-supermarket-HG55CG.jpg,item_images/Instant_food_products.jpg
pet care,https://www.accounting-connections.com/wp-content/uploads/2020/05/iStock-854129862-1.jpg,item_images/pet_care.jpg
white bread,https://www.jocooks.com/wp-content/uploads/2020/03/white-bread-1.jpg,item_images/white_bread.jpg
female sanitary products,https://media.sciencephoto.com/image/c0259187/800wm/C0259187-Feminine_hygiene_products.jpg,item_images/female_sanitary_products.jpg
cling film/bags,https://img.fruugo.com/product/3/53/426597533_max.jpg,item_images/cling_film_bags.jpg
soap,https://www.littlesoapcompany.co.uk/wp-content/uploads/2021/02/Naturals_Lifestyle.jpg,item_images/soap.jpg
frozen chicken,https://www.mashed.com/img/gallery/the-frozen-chicken-tricks-youll-wish-you-knew-sooner/l-intro-1671771595.jpg,item_images/frozen_chicken.jpg
house keeping products,https://nypost.com/wp-content/uploads/sites/2/2022/03/Best-House-Cleaning-Products-feature-image.jpg?quality=75&strip=all,item_images/house_keeping_products.jpg
spread cheese,http://www.tastecooking.com/wp-content/uploads/2017/05/cheesespread.jpg,item_images/spread_cheese.jpg
decalcifier,https://down-ph.img.susercontent.com/file/sg-11134207-7rbk3-lodzkh7cjj9910,item_images/decalcifier.jpg
frozen dessert,http://images.media-allrecipes.com/userphotos/960x960/5202869.jpg,item_images/frozen_dessert.jpg
vinegar,https://i5.walmartimages.com/asr/b96ef4ac-b677-40f0-9e58-d061583222bb.813c746a298a53f3f1ba080b3c2e6d60.jpeg,item_images/vinegar.jpg
nuts/prunes,,
potato products,https://i5.walmartimages.com/asr/80c5be4a-df65-40f9-bc96-76572cff1643_1.9925ef5699d603b781dc6c9e2ad9871e.jpeg,item_images/potato_products.jpg
frozen fish,"https://www.thespruceeats.com/thmb/wRo6loDgvqCNP3gb_aP92lWbKvw=/2122x1415/filters:fill(auto,1)/148964914-56a2f6f35f9b58b7d0cfe462.jpg",item_images/frozen_fish.jpg
hygiene articles,https://pbs.twimg.com/media/DYFiL3rWAAAsKDu?format=jpg&name=900x900,item_images/hygiene_articles.jpg
artif. sweetener,"https://static.wixstatic.com/media/b2443e_e3eabd3dfceb48a8a4559455c78072cc~mv2.jpeg/v1/fill/w_980,h_905,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/The+Best+Artificial+Sweetener+of+2022.jpeg",item_images/artif._sweetener.jpg
light bulbs,https://www.destinationlighting.com/fliptheswitch/wp-content/uploads/sites/2/2017/02/AdobeStock_293892481-min-scaled.jpeg,item_images/light_bulbs.jpg
canned vegetables,https://i5.walmartimages.com/seo/Del-Monte-Canned-Mixed-Vegetables-8-25-oz-Can_bbbad694-f4ce-4e98-9853-e1dc8dbbf7c9_2.4dd076365c3774fbfde0a68dc10c0a75.jpeg,item_images/canned_vegetables.jpg
chewing gum,https://missouripoisoncenter.org/wp-content/uploads/2021/03/iStock-493564207-gum.jpg,item_images/chewing_gum.jpg
canned fish,https://daganghalal.blob.core.windows.net/24986/Product/1000x1000__cannedmackerel3-1575514765256.jpg,item_images/canned_fish.jpg
cookware,https://i5.walmartimages.com/asr/77e02b13-66b1-44c5-b9c1-cc90883210e9.699a87af53ecd153c11f73ac1743dacd.jpeg,item_images/cookware.jpg
semi-finished bread,https://thumbs.dreamstime.com/b/semi-finished-bread-products-semi-finished-bread-products-horizontal-frame-127075316.jpg,item_images/semi-finished_bread.jpg
cat food,https://www.thehappycatsite.com/wp-content/uploads/2017/05/5-1-1024x1024.jpg,item_images/cat_food.jpg
bathroom cleaner,https://i5.walmartimages.com/asr/6a26ff22-cb0d-4f65-aca8-e95dceaf5466.5738e16166f0c3c809f033a0464f6ddc.jpeg,item_images/bathroom_cleaner.jpg
prosecco,http://www.totalwine.com/media/sys_master/cmsmedia/h0a/h8d/8850457329694.jpg,item_images/prosecco.jpg
liver loaf,http://inspiringrecipeideas.com/wp-content/uploads/2017/08/Liver-loaf.jpg,item_images/liver_loaf.jpg
zwieback,http://www.lebensmittelfotos.com/wp-content/gallery/backwaren_frei/zwieback_01_claudiavodermayer.jpg,item_images/zwieback.jpg
canned fruit,https://image.makewebeasy.net/makeweb/0/3AtXD73Tj/Products/PHOTO_TROPICAL_FRUITS_FOR_WEBSITE.jpg,item_images/canned_fruit.jpg
frozen fruits,https://delicia.sg/wp-content/uploads/2020/10/Boiron-Frozen-Red-Fruits.jpg,item_images/frozen_fruits.jpg
brandy,https://s.inyourpocket.com/img/text/southafrica/johannesburg/south-african-brandy-kwv.jpg,item_images/brandy.jpg
baby cosmetics,https://i5.walmartimages.com/asr/e9bff68b-935a-4679-859e-c15355e8d835_1.be93ef58ce112bc6752c1023df108091.jpeg,item_images/baby_cosmetics.jpg
spices,https://www.upwellness.com/wp-content/uploads/2016/08/Fotolia_87176242_Subscription_Monthly_M.jpg,item_images/spices.jpg
napkins,https://i.etsystatic.com/13552776/r/il/7e33e3/1269253367/il_fullxfull.1269253367_edsn.jpg,item_images/napkins.jpg
waffles,,
sauces,https://www.themanual.com/wp-content/uploads/sites/9/2021/05/mother-sauces-feature-image.jpg?p=1,item_images/sauces.jpg
rum,https://www.tastingtable.com/img/gallery/13-types-of-rum-explained/l-intro-1671122976.jpg,item_images/rum.jpg
chocolate marshmallow,https://www.theflavorbender.com/wp-content/uploads/2020/12/Choc-Marshmallow-0193-1367x2048.jpg,item_images/chocolate_marshmallow.jpg
long life bakery product,https://c8.alamy.com/comp/JGHRG6/freshly-baked-traditional-baguettes-on-wooden-table-JGHRG6.jpg,item_images/long_life_bakery_product.jpg
bags,,
sweet spreads,https://images.squarespace-cdn.com/content/v1/5fb0406513eba3050d70a2bb/1621302275606-B6C6AVO51PA6KJRR42H3/3+Spread+Cover.jpg,item_images/sweet_spreads.jpg
soups,https://natashaskitchen.com/wp-content/uploads/2021/05/Vegetable-Soup-4.jpg,item_images/soups.jpg
mustard,,
specialty fat,https://image.slidesharecdn.com/specialityfatsadelpdf-151103080156-lva1-app6891/95/specialty-fats-an-overview-3-638.jpg?cb=1446538304,item_images/specialty_fat.jpg
instant coffee,http://c.shld.net/rpx/i/s/i/spin/10127449/prod_ec_1675283902??hei=64&wid=64&qlt=50,item_images/instant_coffee.jpg
snack products,https://www.tastingtable.com/img/gallery/25-most-popular-snacks-in-america-ranked-worst-to-best/intro-1645492743.jpg,item_images/snack_products.jpg
organic sausage,https://dylzm7u8zqclv.cloudfront.net/2020/11/16/12/39/15/9db5a2d6-c5ae-443b-a699-99493518e9f7/Organic-Sweet-Italian-Chicken-Sausage_Front.png,item_images/organic_sausage.jpg
soft cheese,,
mayonnaise,,
dental care,https://www.yourdentistryguide.com/wp-content/uploads/2017/11/kids-dentistry-min.jpg,item_images/dental_care.jpg
roll products ,https://www.rollproducts.com/wp-content/uploads/2017/05/RPI-LOGO.png,item_images/roll_products_.jpg
kitchen towels,https://i5.walmartimages.com/asr/368e482c-782a-436c-a450-ebcb2a10e331_1.6734efe7b5bc45d3b8531a1ef970f71c.jpeg,item_images/kitchen_towels.jpg
flower soil/fertilizer,https://i5.walmartimages.com/asr/3044223b-bd11-45a3-989e-80a63f10c947_1.6031928157efc19dd6a2c4eb9d4f7fc4.jpeg,item_images/flower_soil_fertilizer.jpg
cereals,https://media4.popsugar-assets.com/files/2016/02/22/834/n/1922398/10b0a4ff59945843_feb_22_cereal.xxxlarge_2x.jpg,item_images/cereals.jpg
meat spreads,https://underwoodspreads.com/wp-content/uploads/Premium-Roast-Beef-Spread-00047800000298.png,item_images/meat_spreads.jpg
dishes,https://i5.walmartimages.com/seo/Yellowstone-12-Piece-Ceramic-Dinnerware-Set-Beth-Collection_62f829c8-6506-4ada-8df5-81735fb8bd52.f5ba1427383b3ea6a643014738374ecb.jpeg,item_images/dishes.jpg
male cosmetics,https://i.notino.com/view/nivea/nivorgm_kset15_01__12.jpg,item_images/male_cosmetics.jpg
candles,https://saltpur.co.za/wp-content/uploads/2020/07/4-Lifestyle-20.jpg,item_images/candles.jpg
whisky,http://images.unsplash.com/photo-1569529465841-dfecdab7503b?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEyMDd9,item_images/whisky.jpg
tidbits,https://tidbits.com/uploads/2018/10/TidBITS-News-app-2.3.jpg,item_images/tidbits.jpg
cooking chocolate,https://www.tastingtable.com/img/gallery/why-you-should-use-warm-ingredients-when-cooking-with-chocolate/l-intro-1651596277.jpg,item_images/cooking_chocolate.jpg
seasonal products,,
liqueur,https://mlq.co.nz/wp-content/uploads/2019/10/Liqueuers.png,item_images/liqueur.jpg
abrasive cleaner,http://dalconhygiene.com.au/wp-content/uploads/2019/10/Abrasive-cleaner-dalcon-hygiene-600x600.jpg,item_images/abrasive_cleaner.jpg
syrup,https://www.daringgourmet.com/wp-content/uploads/2020/04/Golden-Syrup-3-square.jpg,item_images/syrup.jpg
ketchup,http://c.shld.net/rpx/i/s/i/spin/10127449/prod_ec_1575298202??hei=64&wid=64&qlt=50,item_images/ketchup.jpg
cream,https://www.recipetineats.com/wp-content/uploads/2022/11/Chantilly-cream_5.jpg,item_images/cream.jpg
skin care,,
rubbing alcohol,,
nut snack,,
cocoa drinks,https://natashaskitchen.com/wp-content/uploads/2020/11/Hot-Chocolate-Recipe-3.jpg,item_images/cocoa_drinks.jpg
softener,https://i5.walmartimages.com/seo/Downy-Ultra-Laundry-Liquid-Fabric-Softener-Fabric-Conditioner-April-Fresh-140-fl-oz-190-Loads_4088efd8-d631-4552-a124-d1c3a4c75a1c.92052cc51fb2fd88ec0cc7a44d044320.jpeg,item_images/softener.jpg
organic products,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/content/15/e7/47c9886840b299bd24b6e48fca6e/7.Certified-Organic-Grocery-Store_2280x1282.jpg,item_images/organic_products.jpg
cake bar,https://i5.walmartimages.com/asr/a4896f15-6672-4b03-ac2a-365d0b11127d.e9265bfa26bcbb5be95c55b077e6dda8.jpeg,item_images/cake_bar.jpg
honey,https://www.healthyoptions.com.ph/images/newsdigest-new/articles-thumbnails/3ff382cb4caa8efd434d86091a369356_10-03-18_07-01-35.jpg,item_images/honey.jpg
jam,,
kitchen utensil,https://i.etsystatic.com/21682064/r/il/2fddeb/2722827559/il_fullxfull.2722827559_ku6p.jpg,item_images/kitchen_utensil.jpg
flower (seeds),https://www.gardeningknowhow.com/wp-content/uploads/2020/12/sunflower-seeds.jpg,item_images/flower_(seeds).jpg
rice,https://media3.popsugar-assets.com/files/2015/03/27/860/n/1922398/10752659_shutterstock_147035048.xxxlarge_2x.jpg,item_images/rice.jpg
tea,http://weknowyourdreams.com/images/tea/tea-05.jpg,item_images/tea.jpg
salad dressing,,
specialty vegetables,https://www.foodbloggersofcanada.com/wp-content/uploads/2018/09/5-Specialty-Veggies-for-the-Canadian-Garden.jpg,item_images/specialty_vegetables.jpg
pudding powder,https://cdn.carrefour.eu/1200_01016105_5410056010758_00.jpeg,item_images/pudding_powder.jpg
ready soups,https://i5.walmartimages.com/asr/70e5b462-70f6-42f6-a74e-716787d39686.82dda5f665a47a1a0b9d8c4c3ee2cf1b.jpeg,item_images/ready_soups.jpg
make up remover,https://i5.walmartimages.com/seo/Garnier-SkinActive-Micellar-Cleansing-Water-All-in-1-Makeup-Remover-Cleanses-13-5-fl-oz_e4d7a4b6-da7a-4d40-ae23-d24c7d725bc6.7bc3198d58d2556bc29c5b44c4801b9f.jpeg,item_images/make_up_remover.jpg
toilet cleaner,https://i5.walmartimages.com/asr/87e76bf5-e0d0-4ce8-83d8-f115a3c604d0.202d2a1da03f565ebc07b93365da3de2.jpeg,item_images/toilet_cleaner.jpg
preservation products,https://ckphu.com/wp-content/uploads/2013/08/ThinkstockPhotos-483051324.jpg,item_images/preservation_products.jpg
